RANK,TITLE,SERIES,NUMBER IN SERIES,AUTHOR,SCORE,AVG RATINGS,NUM OF RATINGS
73,Vertigo,Aurora Rhapsody,2,G.S. Jennsen (Goodreads Author),4.22,1042,18
74,CryoBurn,Vorkosigan Saga,14,Lois McMaster Bujold (Goodreads Author),4.06,11943,24
75,Seed to Harvest,Patternmaster,1-4,Octavia E. Butler,4.33,3946,20
76,The Wind's Twelve Quarters,None,None,Ursula K. Le Guin,4.04,4042,19
77,Remnant Population,None,None,Elizabeth Moon,4.06,3628,20
78,The Word for World is Forest,None,None,Ursula K. Le Guin,3.95,12905,20
79,Grimspace,Sirantha Jax,1,Ann Aguirre (Goodreads Author),3.73,12662,17
80,Ammonite,None,None,Nicola Griffith (Goodreads Author),3.86,3715,20
81,Across the Universe,Across the Universe,1,Beth Revis (Goodreads Author),3.77,107422,16
82,Inheritor,Foreigner,3,C.J. Cherryh (Goodreads Author),4.19,3610,18
83,The V Girl,None,None,Mya Robarts,4.02,7841,15
84,Delirium,Delirium,1,Lauren Oliver (Goodreads Author),3.98,392304,15
85,Dreamsnake,None,None,Vonda N. McIntyre,3.86,8406,18
86,Women of Wonder: Science-Fiction Stories by Women about Women,None,None,Pamela Sargent (Goodreads Author) (editor),4.00,272,16
87,All Systems Red,The Murderbot Diaries,1,Martha Wells (Goodreads Author),4.15,35094,14
88,Trading in Danger,Vatta's War,1,Elizabeth Moon,3.98,11163,16
89,Invader,Foreigner,2,C.J. Cherryh (Goodreads Author),4.17,4058,17
89,Woman on the Edge of Time,None,None,Marge Piercy,3.95,12600,15
91,China Mountain Zhang,None,None,Maureen F. McHugh,3.94,3453,18
92,Stardoc,Stardoc,1,S.L. Viehl,3.80,3632,16
93,MaddAddam,MaddAddam,3,Margaret Atwood (Goodreads Author),4.00,52204,13
94,Valor's Choice,Confederation,1,Tanya Huff,3.98,6899,16
95,Bellwether,None,None,Connie Willis,3.93,10069,13
96,This Alien Shore,None,None,C.S. Friedman,4.04,3262,15
97,Primary Inversion,Saga of the Skolian Empire,1,Catherine Asaro (Goodreads Author),3.74,3686,15
98,Scarlet,The Lunar Chronicles,2,Marissa Meyer (Goodreads Author),4.29,265319,12
99,Probability Moon,Probability,1,Nancy Kress (Goodreads Author),3.61,1292,15
100,The House of the Scorpion,Matteo Alacran,1,Nancy Farmer (Goodreads Author),4.10,72377,12
