Song,Year,Popularity,URL
Can't Take That Away (Mariah's Theme),2012,6,http://www.metrolyrics.com/cant-take-that-away-mariahs-theme-lyrics-mariah-carey.html
Can't Take That Away From Me (mariah's Theme),2006,26,http://www.metrolyrics.com/cant-take-that-away-from-me-mariahs-theme-lyrics-mariah-carey.html
Can't Take That Way,2006,31,http://www.metrolyrics.com/cant-take-that-way-lyrics-mariah-carey.html
Candy Bling,2009,9,http://www.metrolyrics.com/candy-bling-lyrics-mariah-carey.html
Cant Live Without You,2012,6,http://www.metrolyrics.com/cant-live-without-you-lyrics-mariah-carey.html
Career Resurgence,2013,6,http://www.metrolyrics.com/career-resurgence-lyrics-mariah-carey.html
Caution,2018,6,http://www.metrolyrics.com/caution-lyrics-mariah-carey.html
Charlie Brown Christmas,2010,6,http://www.metrolyrics.com/charlie-brown-christmas-lyrics-mariah-carey.html
Christmas,2006,15,http://www.metrolyrics.com/christmas-lyrics-mariah-carey.html
Christmas (baby Please Come Home),2006,28,http://www.metrolyrics.com/christmas-baby-please-come-home-lyrics-mariah-carey.html
Christmas Time Is In The Air Again,2010,6,http://www.metrolyrics.com/christmas-time-is-in-the-air-again-lyrics-mariah-carey.html
Circles,2005,38,http://www.metrolyrics.com/circles-lyrics-mariah-carey.html
Close My Eyes,2012,19,http://www.metrolyrics.com/close-my-eyes-lyrics-mariah-carey.html
Close to Me,2006,9,http://www.metrolyrics.com/close-to-me-lyrics-mariah-carey.html
Clown,2006,9,http://www.metrolyrics.com/clown-lyrics-mariah-carey.html
Cruise Control,2008,22,http://www.metrolyrics.com/cruise-control-lyrics-mariah-carey.html
Cry,2014,6,http://www.metrolyrics.com/cry-lyrics-mariah-carey.html
Cry Angel's,2009,6,http://www.metrolyrics.com/cry-angels-lyrics-mariah-carey.html
Crybaby,2006,6,http://www.metrolyrics.com/crybaby-lyrics-mariah-carey.html
Dance Floor Anthem - Tony Moran & Warren Rigg,2006,6,http://www.metrolyrics.com/dance-floor-anthem-tony-moran-warren-rigg-lyrics-mariah-carey.html
Daydream,2006,19,http://www.metrolyrics.com/daydream-lyrics-mariah-carey.html
Daydream Interlude,2006,6,http://www.metrolyrics.com/daydream-interlude-lyrics-mariah-carey.html
Dedicated,2014,9,http://www.metrolyrics.com/dedicated-lyrics-mariah-carey.html
Did I Do That?,2006,6,http://www.metrolyrics.com/did-i-do-that-lyrics-mariah-carey.html
Didn't Mean to Turn You On,2006,6,http://www.metrolyrics.com/didnt-mean-to-turn-you-on-lyrics-mariah-carey.html
Do You Know Where You're Going To?,2013,6,http://www.metrolyrics.com/do-you-know-where-youre-going-to-lyrics-mariah-carey.html
Do You Think Of Me,2006,38,http://www.metrolyrics.com/do-you-think-of-me-lyrics-mariah-carey.html
Don Machiavelli,2010,6,http://www.metrolyrics.com/don-machiavelli-lyrics-mariah-carey.html
Don't Forget About Us,2006,24,http://www.metrolyrics.com/dont-forget-about-us-lyrics-mariah-carey.html
Don't Forget About Us (remix),2006,6,http://www.metrolyrics.com/dont-forget-about-us-remix-lyrics-mariah-carey.html
Don't Forget About Us [album Version],2006,6,http://www.metrolyrics.com/dont-forget-about-us-album-version-lyrics-mariah-carey.html
Don't Forget About Us [Quentin Shelter Anthem Mix],2006,6,http://www.metrolyrics.com/dont-forget-about-us-quentin-shelter-anthem-mix-lyrics-mariah-carey.html
Don't Forget About Us [Ralphi & Craig Martini Vocal],2006,6,http://www.metrolyrics.com/dont-forget-about-us-ralphi-craig-martini-vocal-lyrics-mariah-carey.html
Don't Play That Song,2006,6,http://www.metrolyrics.com/dont-play-that-song-lyrics-mariah-carey.html
Don't Play That Song For Me,2006,6,http://www.metrolyrics.com/dont-play-that-song-for-me-lyrics-mariah-carey.html
Don't Stop,2006,6,http://www.metrolyrics.com/dont-stop-lyrics-mariah-carey.html
Don't Stop (funkin' 4 Jamaica),2006,6,http://www.metrolyrics.com/dont-stop-funkin-4-jamaica-lyrics-mariah-carey.html
Dreamlover,2009,38,http://www.metrolyrics.com/dreamlover-lyrics-mariah-carey.html
El Amor Que Sone,2006,15,http://www.metrolyrics.com/el-amor-que-sone-lyrics-mariah-carey.html
Emotions,2006,59,http://www.metrolyrics.com/emotions-lyrics-mariah-carey.html
"EMOTIONS (12"" Club Mix)",2012,6,http://www.metrolyrics.com/emotions-12-club-mix-lyrics-mariah-carey.html
Endless Love,2009,41,http://www.metrolyrics.com/endless-love-lyrics-mariah-carey.html
Everthing Fades Away,2006,6,http://www.metrolyrics.com/everthing-fades-away-lyrics-mariah-carey.html
Everything Fades Away,2007,19,http://www.metrolyrics.com/everything-fades-away-lyrics-mariah-carey.html
Everytime,2017,6,http://www.metrolyrics.com/everytime-lyrics-mariah-carey.html
Ex - Girlfriend,2006,6,http://www.metrolyrics.com/ex-girlfriend-lyrics-mariah-carey.html
Faded,2014,6,http://www.metrolyrics.com/faded-lyrics-mariah-carey.html
Fantasy,2012,61,http://www.metrolyrics.com/fantasy-lyrics-mariah-carey.html
Fantasy (Bad Boy Fantasy version),2015,6,http://www.metrolyrics.com/fantasy-bad-boy-fantasy-version-lyrics-mariah-carey.html
Fantasy Remix,2007,9,http://www.metrolyrics.com/fantasy-remix-lyrics-mariah-carey.html
Feeling It,2007,6,http://www.metrolyrics.com/feeling-it-lyrics-mariah-carey.html
Fly Away,2006,19,http://www.metrolyrics.com/fly-away-lyrics-mariah-carey.html
Fly Like A Bird,2005,57,http://www.metrolyrics.com/fly-like-a-bird-lyrics-mariah-carey.html
"For Real, For Real",2008,6,http://www.metrolyrics.com/for-real-for-real-lyrics-mariah-carey.html
For The Record,2008,9,http://www.metrolyrics.com/for-the-record-lyrics-mariah-carey.html
Forever,2006,36,http://www.metrolyrics.com/forever-lyrics-mariah-carey.html
Fourth Of July,2006,32,http://www.metrolyrics.com/fourth-of-july-lyrics-mariah-carey.html
Get Your Number,2005,9,http://www.metrolyrics.com/get-your-number-lyrics-mariah-carey.html
Giving Me Life,2018,6,http://www.metrolyrics.com/giving-me-life-lyrics-mariah-carey.html
God Rest Ye Merry Gentlemen,2006,6,http://www.metrolyrics.com/god-rest-ye-merry-gentlemen-lyrics-mariah-carey.html
Golden Debut,2013,6,http://www.metrolyrics.com/golden-debut-lyrics-mariah-carey.html
Ground Breaker,2013,6,http://www.metrolyrics.com/ground-breaker-lyrics-mariah-carey.html
GTFO,2018,6,http://www.metrolyrics.com/gtfo-lyrics-mariah-carey.html
H.A.T.E.U,2009,19,http://www.metrolyrics.com/hateu-lyrics-mariah-carey.html
Hark! The Herald Angels Sing,2006,6,http://www.metrolyrics.com/hark-the-herald-angels-sing-lyrics-mariah-carey.html
Hark! The Herald Angels Sing/Gloria (In Excelsis Deo),2008,6,http://www.metrolyrics.com/hark-the-herald-angels-singgloria-in-excelsis-deo-lyrics-mariah-carey.html
Hark! The Herald Angles Sing/Gloria (in Excelsis Deo),2007,6,http://www.metrolyrics.com/hark-the-herald-angles-singgloria-in-excelsis-deo-lyrics-mariah-carey.html
Hate You,2009,41,http://www.metrolyrics.com/hate-you-lyrics-mariah-carey.html
Heart,2013,15,http://www.metrolyrics.com/heart-lyrics-mariah-carey.html
HeartBreaker,2012,47,http://www.metrolyrics.com/heartbreaker-lyrics-mariah-carey.html
HeartBreaker (Junior's Club Remix),2006,6,http://www.metrolyrics.com/heartbreaker-juniors-club-remix-lyrics-mariah-carey.html
HeartBreaker (remix),2007,9,http://www.metrolyrics.com/heartbreaker-remix-lyrics-mariah-carey.html
Heat,2008,6,http://www.metrolyrics.com/heat-lyrics-mariah-carey.html
Heavenly,2014,6,http://www.metrolyrics.com/heavenly-lyrics-mariah-carey.html
Heavenly (No Ways Tired/Can't Give Up Now),2014,6,http://www.metrolyrics.com/heavenly-no-ways-tiredcant-give-up-now-lyrics-mariah-carey.html
Heavenly (No Ways Tired/Canu2019t Give Up Now),2014,6,http://www.metrolyrics.com/heavenly-no-ways-tiredcanu2019t-give-up-now-lyrics-mariah-carey.html
Help Me Make It Through The Night,2010,6,http://www.metrolyrics.com/help-me-make-it-through-the-night-lyrics-mariah-carey.html
Here Comes Santa Claus,2010,6,http://www.metrolyrics.com/here-comes-santa-claus-lyrics-mariah-carey.html
Hermosa,2013,41,http://www.metrolyrics.com/hermosa-lyrics-mariah-carey.html
Hero,2009,78,http://www.metrolyrics.com/hero-lyrics-mariah-carey.html
Heroe,2007,6,http://www.metrolyrics.com/heroe-lyrics-mariah-carey.html
Honey,2012,51,http://www.metrolyrics.com/honey-lyrics-mariah-carey.html
Honey (bad Boy Remix),2006,30,http://www.metrolyrics.com/honey-bad-boy-remix-lyrics-mariah-carey.html
Honey (remix),2006,6,http://www.metrolyrics.com/honey-remix-lyrics-mariah-carey.html
Honey (So So Def Mix),2008,6,http://www.metrolyrics.com/honey-so-so-def-mix-lyrics-mariah-carey.html
How Much,2009,6,http://www.metrolyrics.com/how-much-lyrics-mariah-carey.html
How Much I Love You,2007,57,http://www.metrolyrics.com/how-much-i-love-you-lyrics-mariah-carey.html
Hurry Up And Save Me,2009,6,http://www.metrolyrics.com/hurry-up-and-save-me-lyrics-mariah-carey.html
I Am Free,2006,6,http://www.metrolyrics.com/i-am-free-lyrics-mariah-carey.html
I Didn't Mean To Turn You On,2006,6,http://www.metrolyrics.com/i-didnt-mean-to-turn-you-on-lyrics-mariah-carey.html
I Don't,2017,6,http://www.metrolyrics.com/i-dont-lyrics-mariah-carey.html
I Don't (Remix),2017,6,http://www.metrolyrics.com/i-dont-remix-lyrics-mariah-carey.html
I Don't Wanna Cry,2012,38,http://www.metrolyrics.com/i-dont-wanna-cry-lyrics-mariah-carey.html
I Don't Want To Cry,2008,6,http://www.metrolyrics.com/i-dont-want-to-cry-lyrics-mariah-carey.html
I Feel It,2007,19,http://www.metrolyrics.com/i-feel-it-lyrics-mariah-carey.html
I Know What You Want,2007,22,http://www.metrolyrics.com/i-know-what-you-want-lyrics-mariah-carey.html
I Only Wanted,2006,9,http://www.metrolyrics.com/i-only-wanted-lyrics-mariah-carey.html
I Remember,2009,9,http://www.metrolyrics.com/i-remember-lyrics-mariah-carey.html
I Stay In Love,2008,48,http://www.metrolyrics.com/i-stay-in-love-lyrics-mariah-carey.html
I Still Believe,2009,54,http://www.metrolyrics.com/i-still-believe-lyrics-mariah-carey.html
I Still Believe (damizza Remix),2006,6,http://www.metrolyrics.com/i-still-believe-damizza-remix-lyrics-mariah-carey.html
I Still Believe (stevie J Remix ),2006,6,http://www.metrolyrics.com/i-still-believe-stevie-j-remix-lyrics-mariah-carey.html
I Sttill Believe,2006,6,http://www.metrolyrics.com/i-sttill-believe-lyrics-mariah-carey.html
I Want to Know What Love Is,2009,45,http://www.metrolyrics.com/i-want-to-know-what-love-is-lyrics-mariah-carey.html
I Wish You Knew,2005,38,http://www.metrolyrics.com/i-wish-you-knew-lyrics-mariah-carey.html
I Wish You Well,2008,30,http://www.metrolyrics.com/i-wish-you-well-lyrics-mariah-carey.html
I'll Be Lovin' U Long Time,2008,6,http://www.metrolyrics.com/ill-be-lovin-u-long-time-lyrics-mariah-carey.html
I'll Be There,2009,66,http://www.metrolyrics.com/ill-be-there-lyrics-mariah-carey.html
I'm That Chick,2008,9,http://www.metrolyrics.com/im-that-chick-lyrics-mariah-carey.html
I've Been Thinking About You,2006,6,http://www.metrolyrics.com/ive-been-thinking-about-you-lyrics-mariah-carey.html
I've Got A Right To Dream,2007,6,http://www.metrolyrics.com/ive-got-a-right-to-dream-lyrics-mariah-carey.html
If It's Over,2006,28,http://www.metrolyrics.com/if-its-over-lyrics-mariah-carey.html
If U Only Knew How I Feel About U (find A New Man),2008,6,http://www.metrolyrics.com/if-u-only-knew-how-i-feel-about-u-find-a-new-man-lyrics-mariah-carey.html
If We,2006,6,http://www.metrolyrics.com/if-we-lyrics-mariah-carey.html
Imperfect,2010,24,http://www.metrolyrics.com/imperfect-lyrics-mariah-carey.html
Impossible,2009,6,http://www.metrolyrics.com/impossible-lyrics-mariah-carey.html
Infamous,2016,6,http://www.metrolyrics.com/infamous-lyrics-mariah-carey.html
Infinity,2015,22,http://www.metrolyrics.com/infinity-lyrics-mariah-carey.html
Inseparable,2009,6,http://www.metrolyrics.com/inseparable-lyrics-mariah-carey.html
Inseparable (Remix),2010,9,http://www.metrolyrics.com/inseparable-remix-lyrics-mariah-carey.html
Irresistible,2006,9,http://www.metrolyrics.com/irresistible-lyrics-mariah-carey.html
It's a Wrap,2009,9,http://www.metrolyrics.com/its-a-wrap-lyrics-mariah-carey.html
It's Like That,2005,45,http://www.metrolyrics.com/its-like-that-lyrics-mariah-carey.html
Its Time To Go,2009,28,http://www.metrolyrics.com/its-time-to-go-lyrics-mariah-carey.html
Jesus Born On This Day,2006,6,http://www.metrolyrics.com/jesus-born-on-this-day-lyrics-mariah-carey.html
Jesus Was Born On This Day,2006,6,http://www.metrolyrics.com/jesus-was-born-on-this-day-lyrics-mariah-carey.html
"Jesus, Oh What A Wonderful Child",2006,6,http://www.metrolyrics.com/jesus-oh-what-a-wonderful-child-lyrics-mariah-carey.html
Joy Ride,2005,34,http://www.metrolyrics.com/joy-ride-lyrics-mariah-carey.html
Joy To The World,2006,6,http://www.metrolyrics.com/joy-to-the-world-lyrics-mariah-carey.html
Joy to the World [Celebration Mix Edit],2015,6,http://www.metrolyrics.com/joy-to-the-world-celebration-mix-edit-lyrics-mariah-carey.html
Just Be Good To Me,2006,6,http://www.metrolyrics.com/just-be-good-to-me-lyrics-mariah-carey.html
Just To Hold You Once Again,2006,15,http://www.metrolyrics.com/just-to-hold-you-once-again-lyrics-mariah-carey.html
Languishing,2009,9,http://www.metrolyrics.com/languishing-lyrics-mariah-carey.html
Last Kiss,2008,9,http://www.metrolyrics.com/last-kiss-lyrics-mariah-carey.html
Last Night A Dj Saved My Life,2006,9,http://www.metrolyrics.com/last-night-a-dj-saved-my-life-lyrics-mariah-carey.html
Lead The Way,2006,9,http://www.metrolyrics.com/lead-the-way-lyrics-mariah-carey.html
Little Drummer Boy,2010,6,http://www.metrolyrics.com/little-drummer-boy-lyrics-mariah-carey.html
Long Ago,2006,9,http://www.metrolyrics.com/long-ago-lyrics-mariah-carey.html
Looking In,2006,9,http://www.metrolyrics.com/looking-in-lyrics-mariah-carey.html
Love Story,2008,22,http://www.metrolyrics.com/love-story-lyrics-mariah-carey.html
Love Takes Time,2009,43,http://www.metrolyrics.com/love-takes-time-lyrics-mariah-carey.html
Love You Long Time,2008,6,http://www.metrolyrics.com/love-you-long-time-lyrics-mariah-carey.html
Loverboy,2006,19,http://www.metrolyrics.com/loverboy-lyrics-mariah-carey.html
Loverboy (MJ Cole Remix),2007,6,http://www.metrolyrics.com/loverboy-mj-cole-remix-lyrics-mariah-carey.html
Loverboy (mj Cole Remix) (japan Bonustrack),2008,6,http://www.metrolyrics.com/loverboy-mj-cole-remix-japan-bonustrack-lyrics-mariah-carey.html
Loverboy (remix),2006,9,http://www.metrolyrics.com/loverboy-remix-lyrics-mariah-carey.html
Loving You Long Time,2008,6,http://www.metrolyrics.com/loving-you-long-time-lyrics-mariah-carey.html
Lullaby,2006,6,http://www.metrolyrics.com/lullaby-lyrics-mariah-carey.html
Lullaby of Birdland,2013,6,http://www.metrolyrics.com/lullaby-of-birdland-lyrics-mariah-carey.html
Make It Happen,2012,32,http://www.metrolyrics.com/make-it-happen-lyrics-mariah-carey.html
Make It Look Good,2014,6,http://www.metrolyrics.com/make-it-look-good-lyrics-mariah-carey.html
Make It Through The Rain,2007,9,http://www.metrolyrics.com/make-it-through-the-rain-lyrics-mariah-carey.html
Makin' It Last All Night,2007,6,http://www.metrolyrics.com/makin-it-last-all-night-lyrics-mariah-carey.html
Makin' Last All Night (What It Do),2007,6,http://www.metrolyrics.com/makin-last-all-night-what-it-do-lyrics-mariah-carey.html
Me. I Am Mariah... The Elusive Chanteuse,2014,6,http://www.metrolyrics.com/me-i-am-mariah-the-elusive-chanteuse-lyrics-mariah-carey.html
Me. I Am Mariah...The Elusive Chanteuse,2014,6,http://www.metrolyrics.com/me-i-am-mariahthe-elusive-chanteuse-lyrics-mariah-carey.html
Me. I Am Mariahu2026 The Elusive Chanteuse,2014,6,http://www.metrolyrics.com/me-i-am-mariahu2026-the-elusive-chanteuse-lyrics-mariah-carey.html
Melt Away,2006,19,http://www.metrolyrics.com/melt-away-lyrics-mariah-carey.html
Meteorite,2014,9,http://www.metrolyrics.com/meteorite-lyrics-mariah-carey.html
Mi Todo,2007,42,http://www.metrolyrics.com/mi-todo-lyrics-mariah-carey.html
Migrate,2008,6,http://www.metrolyrics.com/migrate-lyrics-mariah-carey.html
Mine Again,2005,26,http://www.metrolyrics.com/mine-again-lyrics-mariah-carey.html
Miss You,2007,15,http://www.metrolyrics.com/miss-you-lyrics-mariah-carey.html
Miss You Most (at Christmas Time),2006,6,http://www.metrolyrics.com/miss-you-most-at-christmas-time-lyrics-mariah-carey.html
Misty Moon,2008,6,http://www.metrolyrics.com/misty-moon-lyrics-mariah-carey.html
Money ($ * / ...),2014,6,http://www.metrolyrics.com/money-lyrics-mariah-carey.html
Money ($ * / u2026),2014,6,http://www.metrolyrics.com/money-u2026-lyrics-mariah-carey.html
More than Just Friends,2009,6,http://www.metrolyrics.com/more-than-just-friends-lyrics-mariah-carey.html
Music Box,2006,22,http://www.metrolyrics.com/music-box-lyrics-mariah-carey.html
My All,2009,75,http://www.metrolyrics.com/my-all-lyrics-mariah-carey.html
My All/Stay Awhile (So So Def Remix),2008,15,http://www.metrolyrics.com/my-allstay-awhile-so-so-def-remix-lyrics-mariah-carey.html
My Love,2009,9,http://www.metrolyrics.com/my-love-lyrics-mariah-carey.html
My Saving Grace,2006,6,http://www.metrolyrics.com/my-saving-grace-lyrics-mariah-carey.html
Never Forget You,2006,15,http://www.metrolyrics.com/never-forget-you-lyrics-mariah-carey.html
Never Too Far,2006,34,http://www.metrolyrics.com/never-too-far-lyrics-mariah-carey.html
New Flavour,2013,6,http://www.metrolyrics.com/new-flavour-lyrics-mariah-carey.html
Now That I Know,2006,15,http://www.metrolyrics.com/now-that-i-know-lyrics-mariah-carey.html
O Come All Ye Faithful,2010,6,http://www.metrolyrics.com/o-come-all-ye-faithful-lyrics-mariah-carey.html
