RANK,TITLE,AUTHOR,SCORE,VOTES,RATING
34,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,"score: 3,842",43 people vote,"4.21 avg rating — 14,437 ratings"
35,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,"score: 3,700",42 people vote,"4.04 avg rating — 106,044 ratings"
36,"A Civil Campaign (Vorkosigan Saga, #12)",Lois McMaster Bujold (Goodreads Author),"score: 3,683",43 people vote,"4.43 avg rating — 14,496 ratings"
37,"Brothers in Arms (Vorkosigan Saga, #5)",Lois McMaster Bujold (Goodreads Author),"score: 3,653",43 people vote,"4.21 avg rating — 13,276 ratings"
38,"Cetaganda (Vorkosigan Saga, #9)",Lois McMaster Bujold (Goodreads Author),"score: 3,618",43 people vote,"4.17 avg rating — 14,831 ratings"
39,"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,"score: 3,535",43 people vote,"3.95 avg rating — 11,144 ratings"
40,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer (Goodreads Author),"score: 3,440",38 people vote,"4.15 avg rating — 582,877 ratings"
41,"Downbelow Station (The Company Wars, #1)",C.J. Cherryh (Goodreads Author),"score: 3,381",40 people vote,"3.91 avg rating — 12,109 ratings"
42,"The Ship Who Sang (Brainship, #1)",Anne McCaffrey,"score: 3,361",39 people vote,"4.01 avg rating — 21,160 ratings"
43,"Dragon Dawn (Dinosaurian Time Travel, #1)",Deborah O'Neill Cordes (Goodreads Author),"score: 3,340",34 people vote,3.81 avg rating — 194 ratings
44,"Dragonsong (Harper Hall, #1)",Anne McCaffrey,"score: 3,092",36 people vote,"4.25 avg rating — 43,820 ratings"
45,"Falling Free (Vorkosigan Saga, #4)",Lois McMaster Bujold (Goodreads Author),"score: 3,054",37 people vote,"3.83 avg rating — 16,015 ratings"
46,"Ethan of Athos (Vorkosigan Saga, #3)",Lois McMaster Bujold (Goodreads Author),"score: 2,904",36 people vote,"3.76 avg rating — 11,391 ratings"
47,"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,"score: 2,831",32 people vote,"4.11 avg rating — 95,090 ratings"
48,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"score: 2,755",32 people vote,"4.12 avg rating — 22,780 ratings"
49,"Komarr (Vorkosigan Saga, #11)",Lois McMaster Bujold (Goodreads Author),"score: 2,579",31 people vote,"4.30 avg rating — 12,912 ratings"
50,"Foreigner (Foreigner, #1)",C.J. Cherryh (Goodreads Author),"score: 2,547",30 people vote,"3.94 avg rating — 7,158 ratings"
51,Where Late the Sweet Birds Sang,Kate Wilhelm,"score: 2,535",30 people vote,"3.87 avg rating — 8,282 ratings"
52,"Beggars in Spain (Sleepless, #1)",Nancy Kress (Goodreads Author),"score: 2,526",30 people vote,"3.94 avg rating — 6,813 ratings"
53,Her Smoke Rose Up Forever,James Tiptree Jr.,"score: 2,524",29 people vote,"4.21 avg rating — 3,311 ratings"
54,"The Silver Metal Lover (Silver Metal Lover, #1)",Tanith Lee,"score: 2,504",29 people vote,"4.03 avg rating — 3,384 ratings"
55,"Cordelia's Honor (Vorkosigan Omnibus, #1)",Lois McMaster Bujold (Goodreads Author),"score: 2,498",31 people vote,"4.37 avg rating — 11,641 ratings"
56,The Pride of Chanur (Chanur #1),C.J. Cherryh (Goodreads Author),"score: 2,469",31 people vote,"3.92 avg rating — 5,912 ratings"
57,Station Eleven,Emily St. John Mandel (Goodreads Author),"score: 2,450",28 people vote,"4.03 avg rating — 253,847 ratings"
58,"Cyteen (Cyteen, #1-3)",C.J. Cherryh (Goodreads Author),"score: 2,316",30 people vote,"really liked it 4.00 avg rating — 9,285 ratings"
59,Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),Lois McMaster Bujold (Goodreads Author),"score: 2,306",29 people vote,"4.24 avg rating — 8,712 ratings"
60,"Grass (Arbai, #1)",Sheri S. Tepper,"score: 2,203",27 people vote,"4.04 avg rating — 9,266 ratings"
61,"Chameleon (The Domino Project, #1)",K.T. Hanna (Goodreads Author),"score: 2,199",22 people vote,4.18 avg rating — 191 ratings
62,The Gate to Women's Country,Sheri S. Tepper,"score: 2,191",27 people vote,"4.05 avg rating — 11,541 ratings"
63,The Female Man,Joanna Russ,"score: 2,128",26 people vote,"3.54 avg rating — 5,351 ratings"
64,"In the Garden of Iden (The Company, #1)",Kage Baker,"score: 2,038",26 people vote,"3.77 avg rating — 4,995 ratings"
65,"Rogue Genesis (Shimmer in the Dark, #1)",Ceri London (Goodreads Author),"score: 2,013",21 people vote,4.44 avg rating — 133 ratings
66,"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,"score: 2,006",25 people vote,"4.24 avg rating — 17,406 ratings"
67,The Faded Sun Trilogy (The Faded Sun #1-3),C.J. Cherryh (Goodreads Author),"score: 1,931",23 people vote,"4.12 avg rating — 4,628 ratings"
68,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold (Goodreads Author),"score: 1,914",26 people vote,"4.18 avg rating — 12,109 ratings"
69,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik (Goodreads Author),"score: 1,849",22 people vote,"4.06 avg rating — 67,091 ratings"
70,The Speed of Dark,Elizabeth Moon,"score: 1,819",24 people vote,"really liked it 4.00 avg rating — 9,437 ratings"
71,Darkover Landfall,Marion Zimmer Bradley,"score: 1,748",21 people vote,"3.88 avg rating — 5,952 ratings"
72,"Machinations (Machinations, #1)",Hayley Stone (Goodreads Author),"score: 1,698",17 people vote,3.79 avg rating — 248 ratings
73,"Vertigo (Aurora Rhapsody, #2)",G.S. Jennsen (Goodreads Author),"score: 1,684",18 people vote,"4.22 avg rating — 1,042 ratings"
74,"CryoBurn (Vorkosigan Saga, #14)",Lois McMaster Bujold (Goodreads Author),"score: 1,683",24 people vote,"4.06 avg rating — 11,943 ratings"
75,"Seed to Harvest (Patternmaster, #1-4)",Octavia E. Butler,"score: 1,659",20 people vote,"4.33 avg rating — 3,946 ratings"
76,The Wind's Twelve Quarters,Ursula K. Le Guin,"score: 1,572",19 people vote,"4.04 avg rating — 4,042 ratings"
77,Remnant Population,Elizabeth Moon,"score: 1,547",20 people vote,"4.06 avg rating — 3,628 ratings"
78,The Word for World is Forest,Ursula K. Le Guin,"score: 1,510",20 people vote,"3.95 avg rating — 12,905 ratings"
79,"Grimspace (Sirantha Jax, #1)",Ann Aguirre (Goodreads Author),"score: 1,497",17 people vote,"3.73 avg rating — 12,662 ratings"
80,Ammonite,Nicola Griffith (Goodreads Author),"score: 1,477",20 people vote,"3.86 avg rating — 3,715 ratings"
81,"Across the Universe (Across the Universe, #1)",Beth Revis (Goodreads Author),"score: 1,435",16 people vote,"3.77 avg rating — 107,422 ratings"
82,"Inheritor (Foreigner, #3)",C.J. Cherryh (Goodreads Author),"score: 1,392",18 people vote,"4.19 avg rating — 3,610 ratings"
83,The V Girl,Mya Robarts,"score: 1,380",15 people vote,"4.02 avg rating — 7,841 ratings"
84,"Delirium (Delirium, #1)",Lauren Oliver (Goodreads Author),"score: 1,366",15 people vote,"3.98 avg rating — 392,304 ratings"
85,Dreamsnake,Vonda N. McIntyre,"score: 1,324",18 people vote,"3.86 avg rating — 8,406 ratings"
86,Women of Wonder: Science-Fiction Stories by Women about Women,Pamela Sargent (Goodreads Author) (editor),"score: 1,297",16 people vote,really liked it 4.00 avg rating — 272 ratings
87,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells (Goodreads Author),"score: 1,296",14 people vote,"4.15 avg rating — 35,094 ratings"
88,"Trading in Danger (Vatta's War, #1)",Elizabeth Moon,"score: 1,286",16 people vote,"3.98 avg rating — 11,163 ratings"
89,"Invader (Foreigner, #2)",C.J. Cherryh (Goodreads Author),"score: 1,276",17 people vote,"4.17 avg rating — 4,058 ratings"
89,Woman on the Edge of Time,Marge Piercy,"score: 1,276",15 people vote,"3.95 avg rating — 12,600 ratings"
91,China Mountain Zhang,Maureen F. McHugh,"score: 1,253",18 people vote,"3.94 avg rating — 3,453 ratings"
92,"Stardoc (Stardoc, #1)",S.L. Viehl,"score: 1,230",16 people vote,"3.80 avg rating — 3,632 ratings"
93,"MaddAddam (MaddAddam, #3)",Margaret Atwood (Goodreads Author),"score: 1,212",13 people vote,"really liked it 4.00 avg rating — 52,204 ratings"
94,"Valor's Choice (Confederation, #1)",Tanya Huff,"score: 1,165",16 people vote,"3.98 avg rating — 6,899 ratings"
95,Bellwether,Connie Willis,"score: 1,142",13 people vote,"3.93 avg rating — 10,069 ratings"
96,This Alien Shore,C.S. Friedman,"score: 1,130",15 people vote,"4.04 avg rating — 3,262 ratings"
97,"Primary Inversion (Saga of the Skolian Empire, #1)",Catherine Asaro (Goodreads Author),"score: 1,119",15 people vote,"3.74 avg rating — 3,686 ratings"
98,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer (Goodreads Author),"score: 1,115",12 people vote,"4.29 avg rating — 265,319 ratings"
99,"Probability Moon (Probability, #1)",Nancy Kress (Goodreads Author),"score: 1,107",15 people vote,"3.61 avg rating — 1,292 ratings"
100,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer (Goodreads Author),"score: 1,083",12 people vote,"4.10 avg rating — 72,377 ratings"
